Query,Baseline,RAG,LoRA,Sim_LoRA
Do I need a visa to enter Thailand for tourism?,no,1).,Yes,-0.0951588749885559
Is tap water safe to drink in Tokyo?,no,English,English,0.019244484603405
What is the baggage allowance for Singapore Airlines?,a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of,Taxis and ride-hailing services,Taxis and ride-hailing services,0.1014243215322494
What are the best transport options in Paris?,a train,Spring (April–June) and autumn (September–October) have pleasant weather and fewer crowds,Walking and cycling,0.1851044297218322
When is the best time to visit Seoul?,,Spring,Spring,0.6273435950279236
When is the best time to visit Paris?,,Spring (April–June) and autumn (September–October),Spring (April–June) and autumn (September–October),0.7517750263214111
How can I get from Changi Airport to the city center?,0,"Changi Airport is connected to downtown Singapore by the MRT train system, which takes around 30 minutes. Taxis and airport shuttle services are also available 24 hours a day.","Changi Airport is connected to downtown Singapore by the MRT train system, which takes around 30 minutes. Taxis and airport shuttle services are also available 24 hours a day. What is the best way to get around Tokyo? Tokyo’s subway and train network is punctual and efficient. Travelers can purchase a Suica or Pasmo card for easy travel on most public transport lines.",0.7972057461738586
Do I need a car to explore Los Angeles?,no,Los Angeles is best explored by car due to its vast layout,Los Angeles is best explored by car due to its vast layout,0.836651086807251
What is the best way to get around Bangkok?,"You can walk by the river, or you can walk by the river.",a).,"Bangkok offers multiple transport options including BTS Skytrain, MRT subway, and river ferries",0.9444079399108888
Are there any safety tips for tourists in Los Angeles?,no,"Los Angeles is generally safe, but avoid isolated areas at night and keep valuables out of sight in parked cars","Los Angeles is generally safe, but avoid isolated areas at night and keep valuables out of sight in parked cars. Follow local advisories for beach safety and traffic updates.",0.950522005558014
